"id";"doi";"title";"journal";"publication_year";"authors";"countries";"concepts";"type";"cited_by_count";"abstract_text";"status"
"W3146628490";"10.1002/wene.398";"Wind power costs driven by innovation and experience with further reductions on the horizon";"Wiley Interdisciplinary Reviews Energy and Environment";2021;"Philipp Beiter; Aubryn Cooperman; Eric Lantz; Tyler Stehly; Matt Shields; Ryan Wiser; Thomas Telsnig; Lena Kitzing; Volker Berkhout; Y. Kikuchi";"US; NL; DK; DE; JP";"Horizon; Wind power; Time horizon; Power (physics); Environmental economics; Environmental science";"article";59;"Abstract The costs of wind power have declined to levels on par with or below those of conventional sources in many parts of the world. Wind power has become one of the fastest‐growing sources of new electricity generation. We take stock of wind power cost evolution over the past 20 years, review methodologies commonly used for cost assessment, discuss the potential for continued cost reduction, and identify anticipated cost and value drivers. Our scope includes both onshore and offshore wind technologies. We draw from a vast body of literature on these topics to highlight key trends, approaches, and limitations. Furthermore, we discuss strategies for wind power assets to enhance their marginal economic value to the broader power system and consumers. We identify a myriad of factors that are expected to influence the future cost and value of wind power, including siting, project scale, turbine size, operational synergies, commodity prices, advancements in turbine technologies, enhanced management of the wind resource, and novel control technologies that provide value for the electricity grid. Because the common methods for forecasting future costs each have their own strengths and weaknesses, we find the best insights are elicited from a combination of methods. Overall, researchers and analysts anticipate further sizable cost reductions for onshore and offshore wind. Midrange forecasts for levelized cost of energy in 2050 are generally between $20 and $30/MWh for onshore wind and $40 and $60/MWh for offshore wind, a reduction to approximately half of today's levels. Optimistic forecasts anticipate these levels as early as 2030. This article is categorized under: Wind Power &gt; Economics and Policy";"Incluido"
"W2787190816";"10.1016/j.eneco.2019.01.030";"A survey on electricity market design: Insights from theory and real-world implementations of capacity remuneration mechanisms";"Energy Economics";2019;"Andreas Bublitz; Dogan Keles; Florian Zimmermann; Christoph Fraunholz; Wolf Fïchtner";"DE";"Remuneration; Electricity; Implementation; Electricity market; Renewable energy; Economics";"article";237;"In recent years, electricity markets have been characterized by a growing share of fluctuating renewable energies, which has increased concerns about the security of electricity supply. As a consequence, existing market designs are adapted, and new capacity remuneration mechanisms are introduced. However, these mechanisms entail new challenges, and it is disputed whether they are indeed needed. In this article, an overview of the current debate on the necessity of capacity remuneration mechanisms is provided. Furthermore, initial experiences of real-world implementations are discussed, and common findings in the literature, categorized by their economic implications, are derived. Finally, shortcomings in existing research and open questions that need to be addressed in future works are pointed out.";"Incluido"
"W2794182874";"10.1016/j.apenergy.2018.01.057";"How do demand response and electrical energy storage affect (the need for) a capacity market?";"Applied Energy";2018;"Agha Salman M. Khan; Remco Verzijlbergh; Özgür Can Sakinci; Laurens J. de Vries";"NL";"Flexibility (engineering); Environmental economics; Electricity market; Investment (military); Scarcity; Renewable energy";"article";85;"To ensure security of supply and incentivize reliable investment in generation capacity, capacity markets (CMs) have been implemented or are being considered. However, demand response (DR) and electrical energy storage (EES) also contribute to system adequacy. In this paper, we analyse the change in the need for a CM if DR and EES are available, in the presence of a growing portfolio share of intermittent renewable energy sources electricity (RES-E). We present a novel hybrid electricity market model of the transition to a low-carbon electricity system which uses optimization for short-term market operations and agent-based simulation of long-term decisions. DR and EES may significantly reduce the risk of shortages in an energy-only market, even if investment decisions are myopic, like in our model, as compared to an energy-only market without flexibility options. We also present a novel mechanism for contribution of EES to the CM. This reduces the cost of the CM and improves the business case for EES. In our model, DR and EES achieve almost the same improvement of security of supply as a CM, but they do so at a lower cost. Therefore, the case for a centralized CM is weakened in a system with even a limited share of DR and medium-term EES, as presented in our model. These results depend on the duration of scarcity events and the cost of EES and DR. Refinement of the model representation will be required to extrapolate these conclusions to real markets with other types of DR, EES and CMs.";"Incluido"
"W3175146006";"10.1002/er.6897";"Renewable energy penetration and energy security in electricity markets";"International Journal of Energy Research";2021;"Juan Pablo Ríos‐Ocampo; Santiago Arango‐Aramburo; Erik R. Larsen";"AU; CO; DK";"Renewable energy; Electricity; Penetration (warfare); Energy security; Environmental economics; Market penetration";"article";44;"Summary The transition from fossil fuels to renewable energies such as wind and solar is being encouraged worldwide. Renewable energy investment costs have been dropping, which, combined with growing incentives, has led to a rapid rise in renewable capacity. These changes in the electricity market entail great challenges and uncertainties, specifically due to resource availability. Wind and solar energy depend on seasonal weather conditions to generate energy, such as wind and radiation, respectively. However, few studies have focused on analyzing and measuring the impact of a progressive increase of renewable energy in a short‐term electricity market and its effect on energy security. We developed a System Dynamics model to be able to analyze alternative scenarios and levels of uncertainties. We studied the impact of different shares of renewable sources on economic dispatch and energy security through reliability, reserve margin, resilience, and vulnerability measures. High shares of renewable resources (&gt;60%) impact the energy security—reliability (&lt; 98%), reserve margin (&lt;−2%), resilience (&gt;4%), and vulnerability—and may lower the spot price due to zero variable costs, which reduce the profitability of conventional firms in the short term and give closure to firms in the middle term and long term. Novelty Statement In this study, a system dynamics model is proposed to assess the electricity market configuration and the spot price while renewable energy sources (wind and solar) increase and conventional sources fall (hydropower and fossil fuel). Energy security is measured by including energy measures such as reliability, resilience, vulnerability, and reserve margin in a day‐ahead market. The penetration of renewable energy creates a horizontal movement of the supply curve to the right, affecting wholesale electricity price, energy security, and firms' profitability. Highlights The effect of different shares of renewable energy in a day‐ahead electricity market was studied. Energy security under renewable energy share on economic dispatch was considered. The analyses were performed using a system dynamics model for a theoretical market. High shares of renewable resources may lower the spot price due to zero variable costs. Low spot price reduces the profitability of both conventional and nonconventional firms.";"Incluido"
"W4213093501";"10.1016/j.adapen.2022.100090";"Island in the Sea: The prospects and impacts of an offshore wind power hub in the North Sea";"Advances in Applied Energy";2022;"Malte Jansen; Connor Duffy; T.C. Green; Iain Staffell";"GB";"Offshore wind power; Submarine pipeline; Oceanography; Wind power; North sea; Power (physics)";"article";58;"Europe's offshore wind capacity is increasing rapidly, with larger turbines installed further from shore. TenneT proposed an innovative concept, the North Sea Wind Power Hub, in which several farms are connected to an artificial island which has interconnection to surrounding countries. This aims to reduce overall costs, but studies have so far evaluated hypothetical designs rather than the specific system operators’ proposal, and focused primarily on construction costs rather than ongoing system-wide impacts. Here we develop a bottom-up capital cost estimate to compare the Power Hub with conventional point-to-point connection for offshore wind farms. We quantify its consequential impacts on regional electricity prices, the value of wind generation, fossil fuel generation and carbon emissions in 2030 using a pan-European electricity market model. We find that the Power Hub is cheaper if more than 10 GW of wind is built, as the avoided cost of multiple converter platforms offsets the cost of building an artificial island. It has profound impacts on electricity markets across Europe, especially in Britain and Ireland if they gain more interconnection to continental Europe. This impacts the economic viability of wind and gas power stations particularly, and saves 10Mt CO2 per year through reduced curtailment.";"Incluido"
"W2755327423";"10.1016/j.jup.2017.09.003";"The effectiveness of capacity markets in the presence of a high portfolio share of renewable energy sources";"Utilities Policy";2017;"Pradyumna Bhagwat; Kaveri K. Iychettira; Jörn C. Richstein; Émile Chappin; Laurens J. de Vries";"IT; NL; DE";"Portfolio; Renewable energy; Investment (military); Imperfect; Economics; Margin (machine learning)";"article";61;"The effectiveness of a capacity market is analyzed by simulating three conditions that may cause suboptimal investment in the electricity generation: imperfect information and uncertainty; declining demand shocks resulting in load loss; and a growing share of renewable energy sources in the generation portfolio. Implementation of a capacity market can improve supply adequacy and reduce consumer costs. It mainly leads to more investment in low-cost peak generation units. If the administratively determined reserve margin is high enough, the security of supply is not significantly affected by uncertainties or demand shocks. A capacity market is found to be more effective than a strategic reserve for ensuring reliability.";"Incluido"
"W1523443465";"10.1109/eem.2015.7216609";"Energy-only markets with deferrable demand";NA;2015;"Anthony Papavasiliou; Yves Smeers";"BE";"Demand response; Market demand schedule; Renewable energy; Wind power; Energy market; Microeconomics";"conference-paper";4;"In addition to its adverse impacts on power system operations, the large-scale integration of renewable energy sources presents market design challenges as it exacerbates the missing money problem by moving value from energy to capacity markets. Energy-only markets have been touted as a mechanism for alleviating the missing money problem, although demand response is widely recognized as the ultimate solution. In this paper we analyze the benefits of demand response and an energy-only market design on short-term operations and long-term investment, as well as the result of overlapping an energy-only market design in a market with active demand response. We use a multi-stage stochastic program to characterize the real-time and long-term market equilibrium, and a multi-stage stochastic unit commitment model followed by a real-time market to analyze the impact of operating reserve demand curves on day-ahead markets. Our model is applied on a case study of wind and demand response integration in Germany.";"Incluido"
"W3022617081";"10.5547/01956574.40.6.pfal";"Renewables, Allowances Markets, and Capacity Expansion in Energy-Only Markets";"The Energy Journal";2019;"Paolo Falbo; Cristian Pelizzari; Luca Taschini";"IT; GB";"Renewable energy; Electricity; Economics; Production (economics); Fossil fuel; Marginal cost";"article";9;"We investigate the combined effect of an Emissions Trading System (ETS) and renewable energy sources on investments in electricity capacity in energy-only markets. We study the long-term capacity expansion decision in fossil fuel and renewable technologies when electricity demand is uncertain. We model a relevant tradeoff: a higher share of renewable production can be priced at the higher marginal cost of fossil fuel production, yet the likelihood of achieving higher profits is reduced because more electricity demand is met by cheaper renewable production. We illustrate our theoretical results comparing the optimal solutions under a busi-ness-as-usual scenario and under an ETS scenario. This illustration shows under which limiting market settings a monopolist prefers to withhold investments in renewable energy sources, highlighting the potential distortionary effect introduced via an ETS. Our conclusions remain unaltered under varying key modelling assumptions.";"Incluido"
"W4406325199";"10.1016/j.joule.2024.11.016";"System impacts of wind energy developments: Key research challenges and opportunities";"Joule";2025;"Russell McKenna; Johan Lilliestam; Heidi Heinrichs; Jann Michael Weinand; Johannes Schmidt; Iain Staffell; Andrea N. Hahmann; Peter Burgherr; Arne Burdack; Monika Bucha; Ruihong Chen; Michael Klingler; Paul Lehmann; Jens Lowitzsch; Riccardo Novo; James Price; Romain Sacchi; Patrick Scherhaufer; Eva Maria Schöll; Piero Visconti; Paola Velasco‐Herrejón; Marianne Zeyringer; Luis Ramirez Camargo";"DK";"Key (lock); Wind power; Engineering; Environmental science; Systems engineering; Construction engineering";"article";110;"Context & scale Wind energy is currently one of the cheapest renewable energy technologies and plays a central role in many countries’ climate and energy strategies. However, like any electricity-generation technology, wind energy affects and interacts with the broader environmental, social, economic, technical, and legal systems it integrates with. These impacts can potentially slow its deployment, delaying progress on essential decarbonization and energy security objectives. Solutions often exist, but challenges remain due to fundamental research gaps and limited understanding of the true scale of impacts. This article identifies four broad impact categories and fourteen individual impacts, which we systematically analyze through a review of over 400 scientific articles. We qualitatively assess these impacts in terms of importance and spatial diversity, proposing concrete solutions where possible, and suggesting directions for future research. We also demonstrate that some recurring issues are actually not substantial, such as bird and bat collisions, noise and health impacts, local weather changes, and market price impacts at low penetration levels. However, we identify several genuine issues that are currently hard to solve, such as lengthy planning and permitting processes, rare earth material dependency, the recycling of blades, visual impacts on landscapes, and integration into power systems at high penetration levels. Summary Wind power accounted for 8% of global electricity generation in 2023 and is one of the cheapest forms of low-carbon electricity. Although fully commercial, many challenges remain in achieving the required scale-up, relating to integrating wind farms into wider technical, economic, social, and natural systems. We review the main challenges, outline existing solutions, and propose future research needed to overcome existing problems. Although the techno-economic challenges of grid and market integration are seen as significant obstacles to scaling up wind power, the field is replete with solutions. In many countries, planning and permitting are immediate barriers to wind-power deployment; although solutions are emerging in the EU and several countries, the effectiveness and long-term acceptance of fast-track permissions and go-to areas remains to be seen. Environmental impacts on wildlife and recycling challenges are rising issues for which tested and scalable solutions are often still lacking, pointing to large remaining research requirements.";"Incluido"
"W4383371596";"10.1007/s13369-023-07966-8";"The Life Cycle Assessment and Merit Order Effect of Green Hydrogen-Fueled Gas Turbine Power Plant";"Arabian Journal for Science and Engineering";2023;"H. Heidary; Karel Janda";"GB; CZ";"Cost of electricity by source; Renewable energy; Electricity; Capital cost; Stand-alone power system; Electricity generation";"article";9;NA;"Incluido"
"W2094827197";"10.1016/j.jclepro.2014.05.063";"Techno-economic evaluation of innovative steel production technologies";"Journal of Cleaner Production";2014;"Manfred Fischedick; Joachim M. Marzinkowski; Petra Winzer; Max Weigel";"DE";"Production (economics); Steelmaking; Blast furnace; Renewable energy; Raw material; Profitability index";"article";298;NA;"Incluido"
"W4391554387";"10.1016/j.apenergy.2024.122695";"Can an energy only market enable resource adequacy in a decarbonized power system? A co-simulation with two agent-based-models";"Applied Energy";2024;"Ingrid Sanchez Jimenez; David Ribó-Pérez; Milos̆ Cvetković; Johannes Kochems; Christoph Schimeczek; Laurens J. de Vries";"NL; ES; DE";"Resource (disambiguation); Energy (signal processing); Computer science; Physics; Computer network; Quantum mechanics";"article";18;"Future power systems, in which generation will come almost entirely from variable Renewable Energy Sources (vRES), will be characterized by weather-driven supply and flexible demand. In a simulation of the future Dutch power system, we analyze whether there are sufficient incentives for market-driven investors to provide a sufficient level of security of supply, considering the profit-seeking and myopic behavior of investors. We co-simulate two agent-based models (ABM), one for generation expansion and one for the operational time scale. The results suggest that in a system with a high share of vRES and flexibility, prices will be set predominantly by the demand’s willingness to pay, particularly by the opportunity cost of flexible hydrogen electrolyzers. The demand for electric heating could double the price of electricity in winter, compared to summer, and in years with low vRES could cause shortages. Simulations with stochastic weather profiles increase the year-to-year variability of cost recovery by more than threefold and the year-to-year price variability by more than tenfold compared to a scenario with no weather uncertainty. Dispatchable technologies have the most volatile annual returns due to high scarcity rents during years of low vRES production and diminished returns during years with high vRES production. We conclude that in a highly renewable EOM, investors would not have sufficient incentives to ensure the reliability of the system. If they invested in such a way to ensure that demand could be met in a year with the lowest vRES yield, they would not recover their fixed costs in the majority of years.";"Incluido"
"W2980237116";"10.3390/en12203869";"Merit Order Effect Modeling: The Case of the Hellenic Electricity Market";"Energies";2019;"Stelios Loumakis; Eugenia Giannini; Z.B. Maroulis";"GR";"Electricity market; Electricity; Renewable energy; Market penetration; Economics; Econometrics";"article";11;"A simple effective model is proposed for the day-ahead electricity market. The model considers the main factors which govern the process, predicts the seasonal and daily variation of electricity demand, renewable production, system marginal price, and merit order effect. The accuracy of the model is increased by fitting to historic data of the Hellenic electricity market. During the period between October 2016 and December 2018, the Hellenic electricity market calculated explicitly the merit order effect using an innovative mechanism to directly charge the electricity suppliers (retailers). On the basis of the proposed model and the market recorded data, the effect of the renewable penetration on the wholesale Hellenic electricity prices is revealed. The model is further used to analyze the market future behavior when basic factors (electricity demand, conventional power, and renewable penetration) are known or estimated. The effect of merit order effect on the Hellenic legislation is discussed and the appropriate measures adopted by the Hellenic authorities are analyzed and evaluated.";"Incluido"
"W3210198468";"10.1111/1467-8489.12457";"What’s next for the Renewable Energy Target – resolving Australia’s integration of energy and climate change policy?*";"Australian Journal of Agricultural and Resource Economics";2021;"Tim Nelson; Tahlia Nolan; Joel Gilmore";NA;"Renewable energy; Climate change; Commonwealth; Electricity; Investment (military); Energy policy";"article";50;"Australian climate change policy and its integration with Australia’s electricity markets have been fraught for at least two decades. The only enduring policy has been the Commonwealth Renewable Energy Target (RET). Despite the relative success of the RET in driving investment and reducing emissions, state governments have now pivoted towards contracts‐for‐difference (Cfds). In this article, we outline the issues associated with policy discontinuity and the large‐scale RET and review its effectiveness as an emissions reduction tool and driver of electricity sector abatement. We find that the RET has been relatively successful across the key criteria of cost and emissions reductions and is a better policy instrument than contracts‐for‐difference, which are increasingly being adopted by state governments. Building on the work of Nelson et al. (2020), we propose a new approach, which would allow for continued use of Cfds but utilising the RET’s policy architecture.";"Incluido"
"W2548753537";"10.1016/j.renene.2016.11.001";"Assessing the cost of renewable energy policy options – A Spanish wind case study";"Renewable Energy";2016;"Patrick Bean; Jorge Blázquez; N. Nezamuddin";"SA";"Investment (military); Wind power; Renewable energy; Electricity; Capital cost; Government (linguistics)";"article";41;"This paper assesses the cost effectiveness of wind energy policy options by using a cost–benefit analysis approach. In comparison with other studies, the main contribution of this paper is the use of real financial and operational information of 318 wind projects in Spain between 2006 and 2013. The projects represent 83% of total new wind capacity additions in Spain during the 2006–2013 period. Under real market conditions, it is found that the most cost effective option for promoting wind energy development from the government perspective is to use an investment credit policy given the capital intensive nature of wind technology. The analysis shows that an investment credit yields similar results as other policy options like feed-in tariffs and feed-in premiums, but at a cheaper cost and with less risk to the taxpayers or electricity consumers because costs do not fluctuate with electricity market prices.";"Incluido"
"W1976156305";"10.1016/j.enpol.2011.06.024";"The efficiency of Ireland's Renewable Energy Feed-In Tariff (REFIT) for wind generation";"Energy Policy";2011;"R. E. Doherty; Mark O’Malley";"IE";"Tariff; Renewable energy; Feed-in tariff; Electricity; Wind power; Electricity market";"article";36;NA;"Incluido"
"W4385460712";"10.3389/fsuep.2023.1204650";"Electricity price modeling from the perspective of start-up costs: incorporating renewable resources in non-convex markets";"Frontiers in Sustainable Energy Policy";2023;"Presley K. Wesseh; Jiaying Chen; Boqiang Lin";"CN";"Marginal cost; Electricity market; Economics; Electricity; Wind power; Renewable energy";"article";30;"This paper constructs a comprehensive electricity market model in the context of China, highlighting the deviation caused by neglecting start-up costs from an engineering perspective. The model allows for the abandonment of excess wind and solar power generation, contributing to the achievement of research objectives in scenarios with a high proportion of renewable energy. Our method innovatively integrates fuel and carbon prices, clean energy expansion, and power system marginal prices according to the carbon trading rules of the Chinese power industry, providing a more accurate representation of market dynamics. Findings reveal that neglecting start-up costs can lead to significant biases in electricity prices. We demonstrate that the marginal price sometimes deviates from the fluctuation of the real value. While fuel and CO 2 prices can be transmitted downstream, the value of new energy must be transmitted through its impact on the marginal unit. This insight is crucial for understanding the “missing money” problem in electricity markets. Based on these findings, we propose policy recommendations. We suggest considering fixed and average costs as pricing benchmarks and utilizing capacity utilization as a signal for demand response to adjust power pricing. Furthermore, we recommend trading different energy types separately in the spot market with different pricing benchmarks to ensure the homogeneity of marginal units.";"Incluido"
"W2944287250";"10.1007/s40565-019-0527-4";"Power system flexibility: an overview of emergence to evolution";"Journal of Modern Power Systems and Clean Energy";2019;"Alireza Akrami; Meysam Doostizadeh; Farrokh Aminifar";"IR";"Electric power system; Renewable energy; Flexibility (engineering); Leverage (statistics); Risk analysis (engineering); Variable renewable energy";"article";204;"Power systems are evolving to the networks with proliferated penetration of renewable energy resources to leverage their environmental and economic advantages. However, due to the stochastic nature of renewables, the management of the rapidly increasing uncertainty and variability in power system planning and operation is of crucial significance. This paper represents a comprehensive overview of power system flexibility as an effective way to maintain the power balance at every moment. Definitions of power system flexibility from various aspects are explained to reach the reliable and economic planning and operation of the power system. The effects of the high penetration of variable energy resources on power systems and the evolution of flexibility in response to renewables are studied. A variety of resources during the flexibility evolutionary transition are introduced and discussed. As an influential flexibility solution in current power systems integrated with renewable resources, market design improvement is widely reviewed in this paper, and required modifications in market design mechanisms are investigated pertaining to various time horizons.";"Incluido"
"W1478843765";"10.25561/15420";"Evaluating Renewable Energy Policy: A Review of Criteria and Indicators for Assessment";"Bristol Research (University of Bristol)";2014;"Jack Nicholls; RK Mawhood; Robert Gross; Renzo Castillo";"GB";"Renewable energy; Energy policy; Environmental economics; Natural resource economics; Business; Economics";"book";33;"This paper investigates criteria and indicators used to evaluate renewable energy deployment policies. The focus is on application in lower income countries, and the report seeks to extend IRENA’s Policy Brief on the topic“ Evaluating policies in support of the deployment of renewable power”. Key objectives are to explore the extent to which the literature on such criteria and indicators considers lower income country contexts and whether existing analysis makes viable ‘short-hand’ (simple, easy to apply) indicators for assessment. <br/><br/>";"Incluido"
